carat,cut,color,clarity,table,x,y,z,price_new
0.23,Ideal,E,SI2,55,3.95,3.98,2.43,163
0.21,Premium,E,SI1,61,3.89,3.84,2.31,163
0.23,Good,E,VS1,65,4.05,4.07,2.31,163.5
0.29,Premium,I,VS2,58,4.2,4.23,2.63,167
0.31,Good,J,SI2,58,4.34,4.35,2.75,167.5
0.24,Very Good,J,VVS2,57,3.94,3.96,2.48,168
0.24,Very Good,I,VVS1,57,3.95,3.98,2.47,168
0.26,Very Good,H,SI1,55,4.07,4.11,2.53,168.5
0.22,Fair,E,VS2,61,3.87,3.78,2.49,168.5
0.23,Very Good,H,VS1,61,4,4.05,2.39,169
0.3,Good,J,SI1,55,4.25,4.28,2.73,169.5
0.23,Ideal,J,VS1,56,3.93,3.9,2.46,170
0.22,Premium,F,SI1,61,3.88,3.84,2.33,171
0.31,Ideal,J,SI2,54,4.35,4.37,2.71,172
0.2,Premium,E,SI2,62,3.79,3.75,2.27,172.5
0.32,Premium,E,I1,58,4.38,4.42,2.68,172.5
0.3,Ideal,I,SI2,54,4.31,4.34,2.68,174
0.3,Good,J,SI1,54,4.23,4.29,2.7,175.5
0.3,Good,J,SI1,56,4.23,4.26,2.71,175.5
0.3,Very Good,J,SI1,59,4.21,4.27,2.66,175.5
0.3,Good,I,SI2,56,4.26,4.3,2.71,175.5
0.23,Very Good,E,VS2,55,3.85,3.92,2.48,176
0.23,Very Good,H,VS1,57,3.94,3.96,2.41,176.5
0.31,Very Good,J,SI1,62,4.39,4.43,2.62,176.5
0.31,Very Good,J,SI1,62,4.44,4.47,2.59,176.5
0.23,Very Good,G,VVS2,58,3.97,4.01,2.41,177
0.24,Premium,I,VS1,57,3.97,3.94,2.47,177.5
0.3,Very Good,J,VS2,57,4.28,4.3,2.67,178.5
0.23,Very Good,D,VS2,61,3.96,3.97,2.4,178.5
0.23,Very Good,F,VS1,57,3.96,3.99,2.42,178.5
0.23,Very Good,F,VS1,57,4,4.03,2.41,201
0.23,Very Good,F,VS1,57,4.04,4.06,2.42,201
0.23,Very Good,E,VS1,59,3.97,4.01,2.42,201
0.23,Very Good,E,VS1,58,4.01,4.06,2.4,201
0.23,Very Good,D,VS1,58,3.92,3.96,2.44,201
0.23,Good,F,VS1,59,4.06,4.08,2.37,201
0.23,Good,E,VS1,59,3.83,3.85,2.46,201
0.31,Good,H,SI1,54,4.29,4.31,2.75,201
0.26,Very Good,D,VS2,59,4.13,4.16,2.52,201.5
0.33,Ideal,I,SI2,55,4.49,4.51,2.78,201.5
0.33,Ideal,I,SI2,56,4.49,4.5,2.75,201.5
0.33,Ideal,J,SI1,56,4.49,4.55,2.76,201.5
0.26,Good,D,VS2,56,3.99,4.02,2.61,201.5
0.26,Good,D,VS1,63,4.19,4.24,2.46,201.5
0.32,Good,H,SI2,56,4.34,4.37,2.75,201.5
0.29,Premium,F,SI1,58,4.24,4.26,2.65,201.5
0.32,Very Good,H,SI2,55,4.35,4.42,2.71,201.5
0.32,Good,H,SI2,56,4.36,4.38,2.79,201.5
0.25,Very Good,E,VS2,60,4,4.03,2.54,202
0.29,Very Good,H,SI2,60,4.33,4.37,2.64,202
0.24,Very Good,F,SI1,61,4.02,4.03,2.45,202
0.23,Ideal,G,VS1,54,3.93,3.95,2.44,202
0.32,Ideal,I,SI1,55,4.45,4.48,2.72,202
0.22,Premium,E,VS2,58,3.93,3.89,2.41,202
0.22,Premium,D,VS2,62,3.91,3.88,2.31,202
0.3,Ideal,I,SI2,59,4.3,4.33,2.63,202.5
0.3,Premium,J,SI2,61,4.43,4.38,2.61,202.5
0.3,Very Good,I,SI1,57,4.25,4.28,2.67,202.5
0.3,Very Good,I,SI1,57,4.28,4.32,2.71,202.5
0.3,Good,I,SI1,55,4.25,4.29,2.7,202.5
0.35,Ideal,I,VS1,57,4.54,4.59,2.78,276
0.3,Premium,D,SI1,59,4.23,4.27,2.66,276
0.3,Ideal,D,SI1,57,4.29,4.32,2.69,276
0.3,Ideal,D,SI1,56,4.3,4.33,2.68,276
0.42,Premium,I,SI2,59,4.78,4.84,2.96,276
0.28,Ideal,G,VVS2,56,4.19,4.22,2.58,276.5
0.32,Ideal,I,VVS1,55.3,4.39,4.42,2.73,276.5
0.31,Very Good,G,SI1,57,4.33,4.3,2.73,276.5
0.31,Premium,G,SI1,58,4.35,4.32,2.68,276.5
0.24,Premium,E,VVS1,58,4.01,4.03,2.44,276.5
0.24,Very Good,D,VVS1,60,3.97,4,2.45,276.5
0.3,Very Good,H,SI1,56,4.29,4.27,2.7,277
0.3,Premium,H,SI1,59,4.28,4.24,2.68,277
0.3,Premium,H,SI1,57,4.29,4.25,2.67,277
0.3,Good,H,SI1,57,4.28,4.26,2.72,277
0.26,Very Good,F,VVS2,60,4.19,4.22,2.49,277
0.26,Very Good,E,VVS2,58,4.15,4.23,2.51,277
0.26,Very Good,D,VVS2,54,4.08,4.13,2.56,277
0.26,Very Good,D,VVS2,60,4.01,4.05,2.53,277
0.26,Very Good,E,VVS1,59,4.06,4.09,2.55,277
0.26,Very Good,E,VVS1,59,4,4.04,2.55,277
0.26,Very Good,D,VVS1,60,4.03,4.12,2.53,277
0.26,Ideal,E,VVS2,58,4.02,4.06,2.54,277
0.38,Ideal,I,SI2,56,4.65,4.67,2.87,277
0.26,Good,E,VVS1,60,4.22,4.25,2.45,277
0.24,Premium,G,VVS1,59,3.95,3.92,2.45,277
0.24,Premium,H,VVS1,58,4.01,3.96,2.44,277
0.24,Premium,H,VVS1,59,4.02,4,2.44,277
0.24,Premium,H,VVS2,58,4.07,4.04,2.46,277
0.32,Premium,I,SI1,58,4.35,4.33,2.73,277
0.7,Ideal,E,SI1,57,5.7,5.72,3.57,1378.5
0.86,Fair,E,SI2,69,6.45,6.33,3.52,1378.5
0.7,Ideal,G,VS2,56,5.7,5.67,3.5,1378.5
0.71,Very Good,E,VS2,57,5.68,5.73,3.56,1379.5
0.78,Very Good,G,SI2,56,5.81,5.85,3.72,1379.5
0.7,Good,E,VS2,58,5.85,5.9,3.38,1379.5
0.7,Good,F,VS1,62,5.71,5.76,3.4,1379.5
0.96,Fair,F,SI2,62,6.27,5.95,4.07,1379.5
0.73,Very Good,E,SI1,59,5.77,5.78,3.56,1380
0.8,Premium,H,SI1,58,5.97,5.93,3.66,1380
0.75,Very Good,D,SI1,56,5.8,5.75,3.65,1380
0.75,Premium,E,SI1,54,6,5.96,3.58,1380
0.74,Ideal,G,SI1,55,5.8,5.85,3.59,1380
